reference_date,location,horizon,model,target_end_date,truth,point,wis,mae,persistence_mae
2024-11-23,34,2,baseline,2024-12-07,109.0,36.0,37.09652173913043,73.0,72.0
2024-11-23,34,3,ensemble,2024-12-14,174.0,90.0,41.53478260869566,84.0,137.0
2024-11-23,34,3,baseline,2024-12-14,174.0,36.0,70.24173913043478,138.0,137.0
2024-11-23,35,1,ensemble,2024-11-30,55.0,29.0,14.456086956521743,26.0,34.0
2024-11-23,35,1,baseline,2024-11-30,55.0,18.0,21.43521739130435,37.0,34.0
2024-11-23,35,2,ensemble,2024-12-07,103.0,37.0,44.16608695652173,66.0,82.0
2024-11-23,35,2,baseline,2024-12-07,103.0,18.0,52.1704347826087,85.0,82.0
2024-11-23,35,3,ensemble,2024-12-14,108.0,44.0,37.59434782608695,64.0,87.0
2024-11-23,35,3,baseline,2024-12-14,108.0,18.0,52.83608695652172,90.0,87.0
2024-11-23,36,1,ensemble,2024-11-30,145.0,109.0,21.110000000000003,36.0,82.0
2024-11-23,36,1,baseline,2024-11-30,145.0,59.0,46.86260869565217,86.0,82.0
2024-11-23,36,2,ensemble,2024-12-07,275.0,137.0,70.47043478260869,138.0,212.0
2024-11-23,36,2,baseline,2024-12-07,275.0,59.0,110.66782608695652,216.0,212.0
2024-11-23,36,3,ensemble,2024-12-14,432.0,176.0,151.69565217391303,256.0,369.0
2024-11-23,36,3,baseline,2024-12-14,432.0,59.0,210.71521739130435,373.0,369.0
2024-11-23,37,1,ensemble,2024-11-30,43.0,70.0,15.89782608695652,27.0,5.0
2024-11-23,37,1,baseline,2024-11-30,43.0,37.0,10.048260869565217,6.0,5.0
2024-11-23,37,2,ensemble,2024-12-07,65.0,92.0,18.055217391304346,27.0,27.0
2024-11-23,37,2,baseline,2024-12-07,65.0,37.0,18.82434782608696,28.0,27.0
2024-11-23,37,3,ensemble,2024-12-14,173.0,112.0,33.85217391304347,61.0,135.0
2024-11-23,37,3,baseline,2024-12-14,173.0,37.0,72.07608695652173,136.0,135.0
2024-11-23,38,1,ensemble,2024-11-30,1.0,4.0,1.4082608695652177,3.0,0.0
2024-11-23,38,1,baseline,2024-11-30,1.0,1.0,1.183478260869565,0.0,0.0
2024-11-23,38,2,ensemble,2024-12-07,2.0,5.0,1.706086956521739,3.0,1.0
2024-11-23,38,2,baseline,2024-12-07,2.0,1.0,1.5973913043478265,1.0,1.0
2024-11-23,38,3,ensemble,2024-12-14,5.0,6.0,1.6882608695652173,1.0,4.0
2024-11-23,38,3,baseline,2024-12-14,5.0,1.0,2.089130434782609,4.0,4.0
2024-11-23,39,1,ensemble,2024-11-30,53.0,592.0,446.0621739130436,539.0,15.0
2024-11-23,39,1,baseline,2024-11-30,53.0,579.0,437.55086956521745,526.0,15.0
2024-11-23,39,2,ensemble,2024-12-07,88.0,583.0,381.4673913043478,495.0,50.0
2024-11-23,39,2,baseline,2024-12-07,88.0,579.0,382.17913043478256,491.0,50.0
2024-11-23,39,3,ensemble,2024-12-14,151.0,578.0,285.41739130434786,427.0,113.0
2024-11-23,39,3,baseline,2024-12-14,151.0,579.0,302.36608695652177,428.0,113.0
2024-11-23,40,1,ensemble,2024-11-30,40.0,29.0,6.627826086956523,11.0,27.0
2024-11-23,40,1,baseline,2024-11-30,40.0,12.0,14.631304347826086,28.0,27.0
2024-11-23,40,2,ensemble,2024-12-07,40.0,39.0,6.7239130434782615,1.0,27.0
2024-11-23,40,2,baseline,2024-12-07,40.0,12.0,14.679565217391307,28.0,27.0
2024-11-23,40,3,ensemble,2024-12-14,57.0,51.0,9.823913043478264,6.0,44.0
2024-11-23,40,3,baseline,2024-12-14,57.0,12.0,21.526956521739134,45.0,44.0
2024-11-23,41,1,ensemble,2024-11-30,80.0,36.0,24.066521739130433,44.0,45.0
2024-11-23,41,1,baseline,2024-11-30,80.0,26.0,34.38217391304348,54.0,45.0
2024-11-23,41,2,ensemble,2024-12-07,118.0,50.0,39.82826086956523,68.0,83.0
2024-11-23,41,2,baseline,2024-12-07,118.0,26.0,57.954347826086966,92.0,83.0
2024-11-23,41,3,ensemble,2024-12-14,233.0,59.0,127.27130434782607,174.0,198.0
2024-11-23,41,3,baseline,2024-12-14,233.0,26.0,140.02217391304347,207.0,198.0
2024-11-23,42,1,ensemble,2024-11-30,115.0,173.0,32.246521739130436,58.0,4.0
2024-11-23,42,1,baseline,2024-11-30,115.0,111.0,16.164347826086956,4.0,4.0
2024-11-23,42,2,ensemble,2024-12-07,176.0,226.0,36.20434782608696,50.0,65.0
2024-11-23,42,2,baseline,2024-12-07,176.0,111.0,37.65434782608696,65.0,65.0
2024-11-23,42,3,ensemble,2024-12-14,268.0,331.0,49.27260869565216,63.0,157.0
2024-11-23,42,3,baseline,2024-12-14,268.0,111.0,83.88652173913043,157.0,157.0
2024-11-23,44,1,ensemble,2024-11-30,6.0,2.0,1.795652173913043,4.0,6.0
2024-11-23,44,1,baseline,2024-11-30,6.0,0.0,2.941304347826087,6.0,6.0
2024-11-23,44,2,ensemble,2024-12-07,10.0,4.0,3.233478260869565,6.0,10.0
2024-11-23,44,2,baseline,2024-12-07,10.0,0.0,4.830869565217391,10.0,10.0
2024-11-23,44,3,ensemble,2024-12-14,28.0,4.0,16.69739130434783,24.0,28.0
2024-11-23,44,3,baseline,2024-12-14,28.0,0.0,17.260434782608694,28.0,28.0
2024-11-23,45,1,ensemble,2024-11-30,18.0,25.0,4.915652173913044,7.0,5.0
2024-11-23,45,1,baseline,2024-11-30,18.0,13.0,5.728695652173914,5.0,5.0
2024-11-23,45,2,ensemble,2024-12-07,40.0,30.0,7.163043478260868,10.0,27.0
2024-11-23,45,2,baseline,2024-12-07,40.0,13.0,14.03,27.0,27.0
2024-11-23,45,3,ensemble,2024-12-14,79.0,35.0,22.13434782608696,44.0,66.0
2024-11-23,45,3,baseline,2024-12-14,79.0,13.0,33.56478260869566,66.0,66.0
2024-11-23,46,1,ensemble,2024-11-30,5.0,3.0,1.1530434782608696,2.0,5.0
2024-11-23,46,1,baseline,2024-11-30,5.0,0.0,2.12304347826087,5.0,5.0
2024-11-23,46,2,ensemble,2024-12-07,1.0,5.0,2.2543478260869567,4.0,1.0
2024-11-23,46,2,baseline,2024-12-07,1.0,0.0,1.3978260869565218,1.0,1.0
2024-11-23,46,3,ensemble,2024-12-14,8.0,5.0,2.1847826086956523,3.0,8.0
2024-11-23,46,3,baseline,2024-12-14,8.0,0.0,3.183478260869566,8.0,8.0
2024-11-23,47,1,ensemble,2024-11-30,60.0,115.0,37.307391304347824,55.0,34.0
2024-11-23,47,1,baseline,2024-11-30,60.0,91.0,18.415652173913042,31.0,34.0
2024-11-23,47,2,ensemble,2024-12-07,115.0,132.0,15.057826086956524,17.0,21.0
2024-11-23,47,2,baseline,2024-12-07,115.0,91.0,17.194782608695654,24.0,21.0
2024-11-23,47,3,ensemble,2024-12-14,217.0,151.0,31.69347826086957,66.0,123.0
2024-11-23,47,3,baseline,2024-12-14,217.0,91.0,72.5395652173913,126.0,123.0
2024-11-23,48,1,ensemble,2024-11-30,402.0,310.0,52.06956521739131,92.0,179.0
2024-11-23,48,1,baseline,2024-11-30,402.0,213.0,102.94695652173912,189.0,179.0
2024-11-23,48,2,ensemble,2024-12-07,526.0,372.0,79.39130434782606,154.0,303.0
2024-11-23,48,2,baseline,2024-12-07,526.0,213.0,171.97652173913042,313.0,303.0
2024-11-23,48,3,ensemble,2024-12-14,701.0,409.0,143.55695652173912,292.0,478.0
