model,reference_date,location,horizon,target_end_date,truth,point,wis,mae,persistence_mae
ensemble,2023-10-21,33,2,2023-11-04,2.0,2.4006937529014443,0.8231363288395014,0.40069375290144427,2.0
ensemble,2023-10-21,33,3,2023-11-11,2.0,2.6087600032899214,0.9788182461789703,0.6087600032899214,2.0
ensemble,2023-10-21,34,1,2023-10-28,44.0,19.82308842063631,13.919737919678433,24.17691157936369,31.0
ensemble,2023-10-21,34,2,2023-11-04,26.0,21.00436608570807,4.619895418546728,4.995633914291929,13.0
ensemble,2023-10-21,34,3,2023-11-11,46.0,23.09772196248936,12.014600849283719,22.90227803751064,33.0
ensemble,2023-10-21,35,1,2023-10-28,2.0,6.193712241967285,2.478341681312791,4.193712241967285,2.0
ensemble,2023-10-21,35,2,2023-11-04,10.0,7.045415950595837,2.2015966019043254,2.954584049404163,6.0
ensemble,2023-10-21,35,3,2023-11-11,9.0,7.302071773907295,1.9744962687311156,1.6979282260927047,5.0
ensemble,2023-10-21,36,1,2023-10-28,48.0,43.9495,7.271581525966102,4.0504999999999995,22.0
ensemble,2023-10-21,36,2,2023-11-04,57.0,48.932,10.036356168831231,8.067999999999998,31.0
ensemble,2023-10-21,36,3,2023-11-11,88.0,51.1501,20.42996953038198,36.8499,62.0
ensemble,2023-10-21,37,1,2023-10-28,20.0,30.728820090209037,6.338493060821486,10.728820090209037,0.0
ensemble,2023-10-21,37,2,2023-11-04,40.0,35.54154413938523,5.80367428300192,4.4584558606147695,20.0
ensemble,2023-10-21,37,3,2023-11-11,49.0,38.8145,9.093142788355179,10.185499999999998,29.0
ensemble,2023-10-21,38,1,2023-10-28,1.0,1.4098717530902038,0.5798218393016833,0.40987175309020385,0.0
ensemble,2023-10-21,38,2,2023-11-04,0.0,1.835028745082311,1.1031616203834453,1.835028745082311,1.0
ensemble,2023-10-21,38,3,2023-11-11,2.0,2.004930076300982,0.7703481318582139,0.004930076300981856,1.0
ensemble,2023-10-21,39,1,2023-10-28,17.0,18.95,3.980693148937593,1.9499999999999993,4.0
ensemble,2023-10-21,39,2,2023-11-04,21.0,19.75,4.637778343384098,1.25,0.0
ensemble,2023-10-21,39,3,2023-11-11,26.0,21.0,5.831060205753345,5.0,5.0
ensemble,2023-10-21,40,1,2023-10-28,10.0,22.97605,7.583022779178056,12.97605,29.0
ensemble,2023-10-21,40,2,2023-11-04,18.0,26.0017056308491,5.723375529082106,8.001705630849099,21.0
ensemble,2023-10-21,40,3,2023-11-11,34.0,27.85387611839495,5.433575638268145,6.14612388160505,5.0
ensemble,2023-10-21,41,1,2023-10-28,14.0,7.875,3.144010195442377,6.125,8.0
ensemble,2023-10-21,41,2,2023-11-04,6.0,8.0,2.1428780501605873,2.0,0.0
